Gene stable ID	Gene stable ID version	Transcript stable ID version
ENSVPAG00000000002	ENSVPAG00000000002.1	ENSVPAT00000000002.1
ENSVPAG00000007931	ENSVPAG00000007931.1	ENSVPAT00000007931.1
ENSVPAG00000004547	ENSVPAG00000004547.1	ENSVPAT00000004546.1
ENSVPAG00000003366	ENSVPAG00000003366.1	ENSVPAT00000003367.1
ENSVPAG00000009296	ENSVPAG00000009296.1	ENSVPAT00000009296.1
ENSVPAG00000005096	ENSVPAG00000005096.1	ENSVPAT00000005096.1
ENSVPAG00000000003	ENSVPAG00000000003.1	ENSVPAT00000000003.1
ENSVPAG00000002864	ENSVPAG00000002864.1	ENSVPAT00000002858.1
ENSVPAG00000000004	ENSVPAG00000000004.1	ENSVPAT00000000004.1
ENSVPAG00000002500	ENSVPAG00000002500.1	ENSVPAT00000002500.1
ENSVPAG00000009648	ENSVPAG00000009648.1	ENSVPAT00000009648.1
ENSVPAG00000007822	ENSVPAG00000007822.2	ENSVPAT00000007821.2
ENSVPAG00000002536	ENSVPAG00000002536.1	ENSVPAT00000002536.1
ENSVPAG00000002573	ENSVPAG00000002573.1	ENSVPAT00000002576.1
ENSVPAG00000002964	ENSVPAG00000002964.1	ENSVPAT00000002964.1
ENSVPAG00000012144	ENSVPAG00000012144.1	ENSVPAT00000012144.1
ENSVPAG00000012145	ENSVPAG00000012145.1	ENSVPAT00000012145.1
ENSVPAG00000012146	ENSVPAG00000012146.1	ENSVPAT00000012148.1
ENSVPAG00000011506	ENSVPAG00000011506.1	ENSVPAT00000011505.1
ENSVPAG00000002782	ENSVPAG00000002782.1	ENSVPAT00000002786.1
ENSVPAG00000003597	ENSVPAG00000003597.1	ENSVPAT00000003598.1
ENSVPAG00000012151	ENSVPAG00000012151.1	ENSVPAT00000012150.1
ENSVPAG00000012152	ENSVPAG00000012152.1	ENSVPAT00000012152.1
ENSVPAG00000003599	ENSVPAG00000003599.1	ENSVPAT00000003599.1
ENSVPAG00000003600	ENSVPAG00000003600.1	ENSVPAT00000003600.1
ENSVPAG00000003106	ENSVPAG00000003106.1	ENSVPAT00000003106.1
ENSVPAG00000003601	ENSVPAG00000003601.1	ENSVPAT00000003601.1
ENSVPAG00000003107	ENSVPAG00000003107.1	ENSVPAT00000003107.1
ENSVPAG00000003602	ENSVPAG00000003602.1	ENSVPAT00000003602.1
ENSVPAG00000001983	ENSVPAG00000001983.1	ENSVPAT00000001983.1
ENSVPAG00000012528	ENSVPAG00000012528.1	ENSVPAT00000012528.1
ENSVPAG00000003604	ENSVPAG00000003604.1	ENSVPAT00000003603.1
ENSVPAG00000003108	ENSVPAG00000003108.1	ENSVPAT00000003108.1
ENSVPAG00000003605	ENSVPAG00000003605.1	ENSVPAT00000003604.1
ENSVPAG00000003607	ENSVPAG00000003607.1	ENSVPAT00000003607.1
