Gene stable ID	Gene stable ID version	Transcript stable ID version
ENSVPAG00000011930	ENSVPAG00000011930.1	ENSVPAT00000011928.1
ENSVPAG00000006562	ENSVPAG00000006562.1	ENSVPAT00000006562.1
ENSVPAG00000006562	ENSVPAG00000006562.1	ENSVPAT00000006562.1
ENSVPAG00000006722	ENSVPAG00000006722.1	ENSVPAT00000006721.1
ENSVPAG00000009473	ENSVPAG00000009473.1	ENSVPAT00000009473.1
ENSVPAG00000000807	ENSVPAG00000000807.1	ENSVPAT00000000809.1
ENSVPAG00000010774	ENSVPAG00000010774.1	ENSVPAT00000010775.1
ENSVPAG00000003467	ENSVPAG00000003467.1	ENSVPAT00000003465.1
ENSVPAG00000003303	ENSVPAG00000003303.1	ENSVPAT00000003303.1
ENSVPAG00000002347	ENSVPAG00000002347.1	ENSVPAT00000002347.1
ENSVPAG00000005356	ENSVPAG00000005356.1	ENSVPAT00000005355.1
ENSVPAG00000002791	ENSVPAG00000002791.1	ENSVPAT00000002787.1
ENSVPAG00000006160	ENSVPAG00000006160.1	ENSVPAT00000006160.1
ENSVPAG00000006160	ENSVPAG00000006160.1	ENSVPAT00000006160.1
ENSVPAG00000002395	ENSVPAG00000002395.1	ENSVPAT00000002395.1
ENSVPAG00000009656	ENSVPAG00000009656.1	ENSVPAT00000009656.1
ENSVPAG00000002018	ENSVPAG00000002018.1	ENSVPAT00000002017.1
ENSVPAG00000006526	ENSVPAG00000006526.1	ENSVPAT00000006524.1
ENSVPAG00000007631	ENSVPAG00000007631.1	ENSVPAT00000007631.1
ENSVPAG00000007631	ENSVPAG00000007631.1	ENSVPAT00000007631.1
ENSVPAG00000009386	ENSVPAG00000009386.1	ENSVPAT00000009385.1
ENSVPAG00000000308	ENSVPAG00000000308.1	ENSVPAT00000000308.1
ENSVPAG00000005950	ENSVPAG00000005950.1	ENSVPAT00000005951.1
ENSVPAG00000004389	ENSVPAG00000004389.1	ENSVPAT00000004388.1
ENSVPAG00000002374	ENSVPAG00000002374.1	ENSVPAT00000002374.1
ENSVPAG00000009894	ENSVPAG00000009894.1	ENSVPAT00000009894.1
ENSVPAG00000006333	ENSVPAG00000006333.1	ENSVPAT00000006333.1
ENSVPAG00000012555	ENSVPAG00000012555.1	ENSVPAT00000012555.1
ENSVPAG00000004735	ENSVPAG00000004735.1	ENSVPAT00000004735.1
ENSVPAG00000009174	ENSVPAG00000009174.1	ENSVPAT00000009174.1
